 Age	 Height(inches)	 Position	 Team	 Weight(lbs)	Name
 22.99	 74	" ""Catcher"""	" ""BAL"""	 180	Adam Donachie
 34.69	 74	" ""Catcher"""	" ""BAL"""	 215	Paul Bako
 30.78	 72	" ""Catcher"""	" ""BAL"""	 210	Ramon Hernandez
 35.43	 72	" ""First Baseman"""	" ""BAL"""	 210	Kevin Millar
 35.71	 73	" ""First Baseman"""	" ""BAL"""	 188	Chris Gomez
 29.39	 69	" ""Second Baseman"""	" ""BAL"""	 176	Brian Roberts
 30.77	 69	" ""Shortstop"""	" ""BAL"""	 209	Miguel Tejada
 35.07	 71	" ""Third Baseman"""	" ""BAL"""	 200	Melvin Mora
 30.19	 76	" ""Third Baseman"""	" ""BAL"""	 231	Aubrey Huff
 27.05	 71	" ""Outfielder"""	" ""BAL"""	 180	Adam Stern
 23.88	 73	" ""Outfielder"""	" ""BAL"""	 188	Jeff Fiorentino
 26.96	 73	" ""Outfielder"""	" ""BAL"""	 180	Freddie Bynum
 23.29	 74	" ""Outfielder"""	" ""BAL"""	 185	Nick Markakis
 26.11	 74	" ""Outfielder"""	" ""BAL"""	 160	Brandon Fahey
 27.55	 69	" ""Outfielder"""	" ""BAL"""	 180	Corey Patterson
 34.27	 70	" ""Outfielder"""	" ""BAL"""	 185	Jay Payton
 30	 72	" ""Designated Hitter"""	" ""BAL"""	 197	Jay Gibbons
 27.99	 73	" ""Starting Pitcher"""	" ""BAL"""	 189	Erik Bedard
 22.38	 75	" ""Starting Pitcher"""	" ""BAL"""	 185	Hayden Penn
 22.89	 78	" ""Starting Pitcher"""	" ""BAL"""	 219	Adam Loewen
 25.76	 79	" ""Starting Pitcher"""	" ""BAL"""	 230	Daniel Cabrera
 36.33	 76	" ""Starting Pitcher"""	" ""BAL"""	 205	Steve Trachsel
 31.17	 74	" ""Starting Pitcher"""	" ""BAL"""	 230	Jaret Wright
 32.31	 76	" ""Starting Pitcher"""	" ""BAL"""	 195	Kris Benson
 31.03	 72	" ""Relief Pitcher"""	" ""BAL"""	 180	Scott Williamson
 29.26	 71	" ""Relief Pitcher"""	" ""BAL"""	 192	John Parrish
 29.47	 75	" ""Relief Pitcher"""	" ""BAL"""	 225	Danys Baez
 32.46	 77	" ""Relief Pitcher"""	" ""BAL"""	 203	Chad Bradford
 35.67	 74	" ""Relief Pitcher"""	" ""BAL"""	 195	Jamie Walker
 25.89	 73	" ""Relief Pitcher"""	" ""BAL"""	 182	Brian Burres
 26.55	 74	" ""Relief Pitcher"""	" ""BAL"""	 188	Kurt Birkins
 24.17	 78	" ""Relief Pitcher"""	" ""BAL"""	 200	James Hoey
 26.69	 73	" ""Relief Pitcher"""	" ""BAL"""	 180	Sendy Rleal
 25.13	 75	" ""Relief Pitcher"""	" ""BAL"""	 200	Chris Ray
 27.9	 73	" ""Relief Pitcher"""	" ""BAL"""	 200	Jeremy Guthrie
 30.17	 75	" ""Catcher"""	" ""CWS"""	 245	A.J. Pierzynski
 31.36	 75	" ""Catcher"""	" ""CWS"""	 240	Toby Hall
 30.99	 74	" ""First Baseman"""	" ""CWS"""	 215	Paul Konerko
 32.24	 69	" ""Second Baseman"""	" ""CWS"""	 185	Tadahito Iguchi
 27.61	 71	" ""Shortstop"""	" ""CWS"""	 175	Juan Uribe
 28.2	 74	" ""Shortstop"""	" ""CWS"""	 199	Alex Cintron
 28.85	 73	" ""Third Baseman"""	" ""CWS"""	 200	Joe Crede
 24.21	 73	" ""Third Baseman"""	" ""CWS"""	 215	Josh Fields
 22.02	 76	" ""Outfielder"""	" ""CWS"""	 200	Ryan Sweeney
 24.97	 74	" ""Outfielder"""	" ""CWS"""	 205	Brian N. Anderson
 26.78	 74	" ""Outfielder"""	" ""CWS"""	 206	Luis Terrero
 32.51	 70	" ""Outfielder"""	" ""CWS"""	 186	Pablo Ozuna
 30.95	 72	" ""Outfielder"""	" ""CWS"""	 188	Scott Podsednik
 33.09	 77	" ""Outfielder"""	" ""CWS"""	 220	Jermaine Dye
